,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained on:FusarShip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall ,,,,Cargo,,,,Fishing,,,,Tanker,,,,,,,,,,,,,,,,
,Accuracy,Precision,Recall,F1,Accuracy,Precision,Recall,F1,Accuracy,Precision,Recall,F1,Accuracy,Precision,Recall,F1,,,,,,,,,,,,,
CNN-fusar,0.65,0.57,0.65,0.57,0.93,1,0.93,0.96,0.08,1,0.08,0.15,0.07,1,0.07,0.13,,,Overall,,Cargo,,Fishing,,Tanker,,,,Tanker
CNN-Open,0.6,0.59,0.6,0.58,0.81,1,0.81,0.89,0.09,1,0.09,0.16,0.04,1,0.04,0.08,,,Overall,,Cargo,,Fishing,,Tanker,,,,
CNN-Mix,0.61,0.56,0.61,0.57,0.84,1,0.84,0.91,0.08,1,0.08,0.14,0.05,1,0.05,0.1,,Fusar,67.2,,91.87,,9.73,,6.27,,,,
Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,Opensarship,70.27,,99.67,,0.27,,0.2,,,,
Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,Mix,70.33,,97.8,,7.13,,4.13,,,,
Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-fusar,0.65,0.68,0.65,0.65,0.71,1,0.71,0.83,0.62,1,0.62,0.77,0.23,1,0.23,0.37,,,,,,,,,,,,,
Vgg-Open,0.62,0.6,0.62,0.61,0.77,1,0.77,0.87,0.06,1,0.06,0.12,0.22,1,0.22,0.35,,,,,,,,,,,,,
Vgg-Mix,0.62,0.6,0.62,0.61,0.75,1,0.75,0.86,0.5,1,0.5,0.66,0.19,1,0.19,0.32,,,,F1-scores,,Cargo,,Fishing,,Tanker,,,
F-Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,Fusar,,58.6,,98.13,,5.87,,6.07,,,
F-Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,Opensarship,,59.13,,99.67,,2.8,,3.13,,,
F-Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,Mix,,60.07,,98,,14.69,,6.71,,,
F-Vgg-fusar,0.67,0.61,0.67,0.56,0.99,1,0.99,0.99,0.02,1,0.02,0.03,0.12,1,0.12,0.21,,,,,,,,,,,,,
F-Vgg-Open,0.73,0.59,0.73,0.62,0.99,1,0.99,1,0,0,0,0,0.01,1,0.01,0.01,,,,,,,,,,,,,
F-Vgg-Mix,0.71,0.59,0.71,0.6,0.99,1,0.99,1,0.01,1,0.01,0.01,0.01,1,0.01,0.02,,,,,,,,,,,,,
Trained on: Opensarship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN-fusar,0.67,0.55,0.67,0.54,0.99,1,0.99,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
CNN-Open,0.73,0.54,0.73,0.62,1,1,1,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
CNN-Mix,0.71,0.54,0.71,0.59,1,1,1,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vgg-Open,0.73,0.55,0.73,0.62,1,1,1,1,0.01,1,0.01,0.02,0,0,0,0,,,,,,,,,,,,,
Vgg-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Resnet-fusar,0.67,0.45,0.67,0.54,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Resnet-Open,0.73,0.53,0.73,0.62,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Resnet-Mix,0.71,0.51,0.71,0.59,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
F-Vgg-fusar,0.67,0.45,0.67,0.54,0.99,1,0.99,1,0,0,0,0,0.01,1,0.01,0.01,,,,,,,,,,,,,
